fecha,resolucion,despacho,expediente,enlace
2009-06-26,1270-2009,Tribunal Contencioso Administrativo,09-000826-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-550967
2009-08-07,827-2009,Sala Primera,08-000211-0161-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-449085
2009-09-17,979-2009,Sala Primera,08-000105-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-457182
2009-12-17,1308-2009,Sala Primera,09-000184-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-462985
2010-01-06,53-2010,Sala Primera,03-000659-0163-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-461533
2010-01-14,80-2010,Sala Primera,08-001561-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-461546
2010-01-14,88-2010,Sala Primera,08-001405-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-465460
2010-01-21,84-2010,Tribunal de Casación Contencioso Administrativo y Civil de Hacienda,08-005479-0170-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-465549
2010-03-22,1103-2010,Tribunal Contencioso Administrativo,09-001268-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-480838
2010-03-25,1167-2010,Tribunal Contencioso Administrativo,10-000391-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-480839
2010-04-29,33-2010,"Tribunal Contencioso Administrativo, Sección VII",05-000201-0163-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-474356
2010-04-30,503-2010,Sala Primera,08-000223-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-480549
2010-04-30,513-2010,Sala Primera,09-002543-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-484590
2010-06-09,687-2010,Sala Primera,08-000101-0161-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-484601
2010-06-25,2416-2010,"Tribunal Contencioso Administrativo, Sección VI",09-001074-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-479290
2010-07-28,2758-2010,"Tribunal Contencioso Administrativo, Sección VI",09-002692-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-486674
2010-07-29,886-2010,Sala Primera,08-001324-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-491773
2010-08-12,949-2010,Sala Primera,08-000228-0161-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-486970
2010-09-30,3699-2010,"Tribunal Contencioso Administrativo, Sección VI",09-002760-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-491643
2010-10-13,3847-2010,"Tribunal Contencioso Administrativo, Sección VI",10-001749-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-491651
2010-10-21,1251-2010,Sala Primera,09-000343-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-516723
2010-11-30,576-2010,"Tribunal Contencioso Administrativo, Sección I",05-000900-0163-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-501708
