fecha,resolucion,despacho,expediente,enlace
2005-02-22,81-2005,Sala Primera,94-000455-0178-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-305981
2005-03-04,11-2005,"Tribunal Contencioso Administrativo, Sección IV",00-000846-0161-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-298558
2005-07-20,519-2005,Sala Primera,00-000549-0163-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-315153
2005-08-17,644-2005,Tribunal Agrario,95-160067-0465-AG,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-315384
2005-08-17,370-2005,"Tribunal Contencioso Administrativo, Sección II",90-002694-0177-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-315067
2005-10-31,795-2005,Sala Primera,98-000530-0185-CI,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-345966
2005-11-10,849-2005,Sala Primera,97-000383-0183-CI,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-333573
2005-12-15,973-2005,Sala Primera,01-000001-0180-CI,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-903026
2005-12-21,998-2005,Sala Primera,01-000417-0504-CI,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-358035
2005-12-23,1032-2005,Sala Primera,03-000286-0163-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-341968
2006-03-14,3377-2006,Sala Constitucional,06-002319-0007-CO,https://nexuspj.poder-judicial.go.cr/document/sen-1-0007-347888
2006-06-16,162-2006,"Tribunal Segundo Civil, Sección I",99-000011-0180-CI,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-344497
2006-07-28,339-2006,"Tribunal Contencioso Administrativo, Sección I",95-000193-0177-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-354167
2006-08-31,389-2006,"Tribunal Contencioso Administrativo, Sección II",01-000793-0161-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-354720
2006-09-27,718-2006,Sala Primera,05-000178-0004-AR,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-369599
