fecha,resolucion,despacho,expediente,enlace
2014-08-13,58-2014,"Tribunal Contencioso Administrativo, Sección V",12-007036-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-614735
2014-08-26,60-2014,"Tribunal Contencioso Administrativo, Sección I",13-000012-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-640666
2014-09-08,63-2014,"Tribunal Contencioso Administrativo, Sección I",13-001033-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-640663
2014-10-09,1308-2014,Sala Primera,09-001089-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-620133
2014-11-12,182-2014,"Tribunal Contencioso Administrativo, Sección VI",12-007011-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-620997
2014-11-26,2292-2014,Tribunal de Apelación de Sentencia Penal del II Circuito Judicial de San José,08-014278-0042-PE,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-620404
2015-01-14,6-2015,"Tribunal Contencioso Administrativo, Sección VI",13-007880-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-624474
2015-01-15,7-2015,"Tribunal Contencioso Administrativo, Sección VI",13-002274-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-624475
2015-01-28,12-2015,"Tribunal Contencioso Administrativo, Sección VI",13-005573-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-624884
2015-03-20,22-2015,"Tribunal Contencioso Administrativo, Sección I",12-003190-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-640836
2015-03-23,21-2015,"Tribunal Contencioso Administrativo, Sección IV",13-001799-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-639685
2015-03-27,27-2015,"Tribunal Contencioso Administrativo, Sección II",07-001443-0163-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-632365
2015-04-23,43-2015,"Tribunal Contencioso Administrativo, Sección V",13-003976-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-632097
2015-05-27,54-2015,"Tribunal Contencioso Administrativo, Sección VII",14-001704-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-641048
2015-06-11,58-2015,"Tribunal Contencioso Administrativo, Sección IV",12-000552-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-641932
2015-06-29,107-2015,"Tribunal Contencioso Administrativo, Sección VI",14-009375-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-643336
2015-07-27,77-2015,"Tribunal Contencioso Administrativo, Sección V",11-003405-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-644714
2015-08-04,893-2015,Sala Primera,12-002663-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-646380
2015-08-25,86-2015,"Tribunal Contencioso Administrativo, Sección V",13-003744-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-646809
2015-09-02,87-2015,"Tribunal Contencioso Administrativo, Sección I",12-005687-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-649843
2015-09-22,94-2015,"Tribunal Contencioso Administrativo, Sección V",13-003706-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-648891
2015-09-25,158-2015,"Tribunal Contencioso Administrativo, Sección VI",13-006890-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-649863
2015-09-30,102-2015,"Tribunal Contencioso Administrativo, Sección V",12-006151-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-649860
2015-10-08,95-2015,"Tribunal Contencioso Administrativo, Sección VIII",12-002635-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-649167
2015-10-20,96-2015,"Tribunal Contencioso Administrativo, Sección VIII",12-002702-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-649906
2015-10-21,1414-2015,Tribunal de Apelación de Sentencia Penal del II Circuito Judicial de San José,03-200784-0485-PE,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-650785
2015-10-29,184-2015,"Tribunal Contencioso Administrativo, Sección VI",14-007828-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-651084
2015-10-30,113-2015,"Tribunal Contencioso Administrativo, Sección V",13-004715-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-651078
2015-11-13,107-2015,"Tribunal Contencioso Administrativo, Sección VIII",14-005683-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-653461
2015-12-03,114-2015,"Tribunal Contencioso Administrativo, Sección VIII",13-005202-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-654444
2015-12-09,124-2015,"Tribunal Contencioso Administrativo, Sección IV",13-008877-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-658971
2015-12-10,130-2015,"Tribunal Contencioso Administrativo, Sección VII",12-006292-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-660749
2015-12-15,210-2015,"Tribunal Contencioso Administrativo, Sección VI",13-006667-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-655231
2015-12-18,215-2015,"Tribunal Contencioso Administrativo, Sección VI",14-002959-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-655235
2016-02-16,26-2016,"Tribunal Contencioso Administrativo, Sección VI",12-006846-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-944294
2016-02-19,20-2016,"Tribunal Contencioso Administrativo, Sección IV",14-004568-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-659147
2016-03-03,182-2016,Sala Primera,15-000031-0004-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-661633
2016-03-16,31-2016,"Tribunal Contencioso Administrativo, Sección VIII",14-008861-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-660792
2016-04-19,41-2016,"Tribunal Contencioso Administrativo, Sección V",11-007130-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-664284
2016-04-19,42-2016,"Tribunal Contencioso Administrativo, Sección VIII",14-008453-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-664152
2016-06-27,59-2016,"Tribunal Contencioso Administrativo, Sección IV",13-007114-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-668412
2016-06-29,66-2016,"Tribunal Contencioso Administrativo, Sección V",11-004917-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-668414
2016-06-29,99-2016,"Tribunal Contencioso Administrativo, Sección VI",12-000771-0679-LA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-668419
2016-07-22,109-2016,"Tribunal Contencioso Administrativo, Sección VI",15-001502-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-675202
2016-07-29,112-2016,"Tribunal Contencioso Administrativo, Sección VI",15-000060-1028-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-671624
2016-08-22,74-2016,"Tribunal Contencioso Administrativo, Sección IV",10-000306-1028-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-674586
2016-08-30,92-2016,"Tribunal Contencioso Administrativo, Sección V",13-002775-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-682713
2016-08-31,132-2016,"Tribunal Contencioso Administrativo, Sección VI",11-007386-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-675316
2016-09-08,921-2016,Sala Primera,11-000142-0295-CI,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-681228
2016-09-16,82-2016,"Tribunal Contencioso Administrativo, Sección IV",12-001707-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-679417
2016-09-23,140-2016,"Tribunal Contencioso Administrativo, Sección VI",14-008215-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-679421
2016-09-26,84-2016,"Tribunal Contencioso Administrativo, Sección IV",15-000525-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-679419
2016-09-30,102-2016,"Tribunal Contencioso Administrativo, Sección VIII",14-001091-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-679423
2016-10-12,105-2016,"Tribunal Contencioso Administrativo, Sección VIII",15-000365-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-680165
2016-10-14,148-2016,"Tribunal Contencioso Administrativo, Sección VI",15-003996-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-683859
2016-12-02,1245-2016,Sala Primera,12-003061-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-695253
2017-01-19,4-2017,"Tribunal Contencioso Administrativo, Sección VII",14-007169-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-693562
2017-01-30,6-2017,"Tribunal Contencioso Administrativo, Sección V",11-003730-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-693446
2017-02-07,14-2017,"Tribunal Contencioso Administrativo, Sección III",13-008789-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-702185
2017-03-07,29-2017,"Tribunal Contencioso Administrativo, Sección VI",16-001982-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-704788
2017-03-22,37-2017,"Tribunal Contencioso Administrativo, Sección VI",14-010707-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-704791
2017-04-25,50-2017,"Tribunal Contencioso Administrativo, Sección VI",14-001562-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-738816
2017-05-04,451-2017,Sala Primera,11-005772-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-715582
2017-05-08,256-2017,"Tribunal Segundo Civil, Sección Extraordinaria",10-100165-0642-CI,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-710972
2017-05-11,60-2017,"Tribunal Contencioso Administrativo, Sección VI",15-002506-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-712971
2017-11-13,118-2017,"Tribunal Contencioso Administrativo, Sección V",14-010258-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-730985
2017-11-30,148-2017,"Tribunal Contencioso Administrativo, Sección VI",13-005818-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-730996
2018-03-08,196-2018,Sala Primera,11-001242-1028-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-857209
