fecha,resolucion,despacho,expediente,enlace
2013-06-11,52-2013,"Tribunal Contencioso Administrativo, Sección IV",11-002679-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-578000
2013-06-13,51-2013,Tribunal de Casación Contencioso Administrativo y Civil de Hacienda,11-000880-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-585291
2013-10-16,93-2013,"Tribunal Contencioso Administrativo, Sección VIII",13-001286-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-589867
2013-10-31,100-2013,Tribunal de Casación Contencioso Administrativo y Civil de Hacienda,11-007132-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-591943
2014-02-13,11-2014,Tribunal de Casación Contencioso Administrativo y Civil de Hacienda,13-000961-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-601332
2014-04-10,29-2014,Tribunal de Casación Contencioso Administrativo y Civil de Hacienda,10-000807-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-602210
2014-08-28,74-2014,Tribunal de Casación Contencioso Administrativo y Civil de Hacienda,12-001259-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-614107
2014-09-12,81-2014,"Tribunal Contencioso Administrativo, Sección VII",13-001542-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-616775
2015-02-26,20-2015,"Tribunal Contencioso Administrativo, Sección VII",14-000401-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-626999
2015-06-10,65-2015,Tribunal de Casación Contencioso Administrativo y Civil de Hacienda,13-002636-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-642902
2015-06-30,63-2015,"Tribunal Contencioso Administrativo, Sección II",06-000483-0163-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-645382
2015-10-01,1135-2015,Sala Primera,11-004809-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-651917
2015-10-21,116-2015,Tribunal de Casación Contencioso Administrativo y Civil de Hacienda,14-001228-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-652095
2016-03-03,26-2016,"Tribunal Contencioso Administrativo, Sección V",13-001507-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-660913
2016-04-21,127-2016,"Tribunal Contencioso Administrativo, Sección III",15-011304-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-664178
2016-05-12,56-2016,Tribunal de Casación Contencioso Administrativo y Civil de Hacienda,13-002727-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-670003
2016-05-19,59-2016,Tribunal de Casación Contencioso Administrativo y Civil de Hacienda,13-003644-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-668799
2016-08-10,356-2016,"Tribunal Contencioso Administrativo, Sección III",16-001069-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-674533
2016-08-11,836-2016,Sala Primera,13-006793-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-676008
2016-08-25,369-2016,"Tribunal Contencioso Administrativo, Sección III",16-004289-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-680143
2016-08-25,370-2016,"Tribunal Contencioso Administrativo, Sección III",16-005205-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-674572
2016-09-09,390-2016,"Tribunal Contencioso Administrativo, Sección III",16-005563-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-679483
2016-10-24,464-2016,"Tribunal Contencioso Administrativo, Sección III",16-007135-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-688610
2016-11-15,502-2016,"Tribunal Contencioso Administrativo, Sección III",16-001839-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-688629
2016-11-28,512-2016,"Tribunal Contencioso Administrativo, Sección III",15-005294-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-688637
2017-03-16,34-2017,Tribunal de Casación Contencioso Administrativo y Civil de Hacienda,13-005260-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-734302
2017-03-27,106-2017,"Tribunal Contencioso Administrativo, Sección III",16-011310-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-704496
2017-04-24,157-2017,"Tribunal Contencioso Administrativo, Sección III",17-000938-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-708225
2017-06-22,81-2017,Tribunal de Casación Contencioso Administrativo y Civil de Hacienda,15-002344-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-721985
2018-02-27,12-2018,"Tribunal Contencioso Administrativo, Sección II",14-005781-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-747341
2018-03-08,30-2018,Tribunal de Casación Contencioso Administrativo y Civil de Hacienda,15-001639-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-850950
2018-03-16,117-2018,"Tribunal Contencioso Administrativo, Sección III",17-002861-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-740904
2018-06-08,242-2018,"Tribunal Contencioso Administrativo, Sección III",17-007422-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-750187
2019-02-06,10-2019,Tribunal de Casación Contencioso Administrativo y Civil de Hacienda,16-010629-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-1011-921897
2019-06-11,76-2019,Tribunal de Casación Contencioso Administrativo y Civil de Hacienda,13-007602-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-1011-947062
2019-08-30,419-2019,"Tribunal Contencioso Administrativo, Sección III",18-010345-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-944645
