fecha,resolucion,despacho,expediente,enlace
2011-09-12,199-2011,"Tribunal Contencioso Administrativo, Sección VI",09-002162-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-523150
2011-10-25,222-2011,"Tribunal Contencioso Administrativo, Sección VI",11-000579-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-526303
2012-05-16,608-2012,Sala Primera,09-002919-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-685779
2012-05-25,93-2012,"Tribunal Contencioso Administrativo, Sección VI",11-002821-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-604168
2012-06-29,127-2012,"Tribunal Contencioso Administrativo, Sección VI",11-003949-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-543019
2012-07-03,780-2012,Sala Primera,10-001159-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-685833
2012-08-13,159-2012,"Tribunal Contencioso Administrativo, Sección VI",11-004825-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-546122
2012-08-13,160-2012,"Tribunal Contencioso Administrativo, Sección VI",11-002276-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-546123
2012-09-13,185-2012,"Tribunal Contencioso Administrativo, Sección VI",11-005411-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-550314
2012-09-19,193-2012,"Tribunal Contencioso Administrativo, Sección VI",11-002734-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-550663
2012-09-21,86-2012,"Tribunal Contencioso Administrativo, Sección VIII",10-003856-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-549699
2012-09-28,204-2012,"Tribunal Contencioso Administrativo, Sección VI",11-004660-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-550508
2012-10-04,210-2012,"Tribunal Contencioso Administrativo, Sección VI",11-004109-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-549985
2012-10-30,139-2012,"Tribunal Contencioso Administrativo, Sección VII",06-000884-0163-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-550667
2012-10-31,244-2012,Tribunal Contencioso Administrativo,10-000558-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-552115
2012-11-07,254-2012,"Tribunal Contencioso Administrativo, Sección VI",94-014052-0227-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-604205
2012-11-21,272-2012,"Tribunal Contencioso Administrativo, Sección VI",11-000490-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-552134
2013-02-01,20-2013,"Tribunal Contencioso Administrativo, Sección VI",12-001888-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-561821
2013-02-28,198-2013,Tribunal Agrario,13-000012-0029-AG,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-587084
2013-02-28,41-2013,"Tribunal Contencioso Administrativo, Sección VI",11-003464-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-565578
2013-03-15,271-2013,Tribunal Agrario,12-000050-0029-AG,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-587160
2013-06-26,610-2013,Tribunal Agrario,13-000030-0029-AG,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-588286
2013-07-01,91-2013,"Tribunal Contencioso Administrativo, Sección VI",07-000848-0624-NO,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-578004
2013-08-01,1001-2013,Sala Primera,12-000762-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-588746
2013-08-21,795-2013,Tribunal Agrario,13-000029-0029-AG,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-587936
2013-08-22,1131-2013,Sala Primera,10-004120-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-588859
2013-10-09,122-2013,"Tribunal Contencioso Administrativo, Sección VI",11-007338-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-589889
2013-12-13,494-2013,"Tribunal Contencioso Administrativo, Sección IX",11-003950-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-612390
2013-12-19,116-2013,"Tribunal Contencioso Administrativo, Sección IV",10-003768-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-606683
2014-01-22,5-2014,"Tribunal Contencioso Administrativo, Sección VIII",11-003948-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-600706
2014-02-06,9-2014,Tribunal de Casación Contencioso Administrativo y Civil de Hacienda,11-002276-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-601331
2014-03-06,286-2014,Sala Primera,11-004341-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-599869
2014-04-21,50-2014,"Tribunal Contencioso Administrativo, Sección VI",12-001506-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-607378
2014-04-24,34-2014,Tribunal de Casación Contencioso Administrativo y Civil de Hacienda,11-004839-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-606362
2014-04-30,59-2014,"Tribunal Contencioso Administrativo, Sección VI",12-004572-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-616835
2014-05-22,67-2014,"Tribunal Contencioso Administrativo, Sección VI",13-004239-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-604823
2014-06-25,46-2014,"Tribunal Contencioso Administrativo, Sección V",11-006628-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-613780
2014-07-18,108-2014,"Tribunal Contencioso Administrativo, Sección VI",13-000933-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-614367
2014-09-16,141-2014,"Tribunal Contencioso Administrativo, Sección VI",12-000349-1178-LA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-616769
2014-09-30,80-2014,"Tribunal Contencioso Administrativo, Sección IV",11-006797-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-618976
2014-11-12,181-2014,"Tribunal Contencioso Administrativo, Sección VI",12-001026-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-619923
2014-11-20,119-2014,Tribunal de Casación Contencioso Administrativo y Civil de Hacienda,10-000109-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-622356
2014-11-28,195-2014,"Tribunal Contencioso Administrativo, Sección VI",10-001936-0166-LA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-620611
2014-11-28,198-2014,"Tribunal Contencioso Administrativo, Sección VI",14-000315-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-620614
2015-01-27,5-2015,"Tribunal Contencioso Administrativo, Sección VII",12-003317-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-626845
2015-01-30,17-2015,"Tribunal Contencioso Administrativo, Sección VI",13-008447-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-626972
2015-02-04,130-2015,Sala Segunda,12-002423-1178-LA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-624712
2015-02-11,13-2015,"Tribunal Contencioso Administrativo, Sección IV",12-001327-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-631403
2015-03-26,35-2015,"Tribunal Contencioso Administrativo, Sección V",13-003241-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-631430
2015-03-26,52-2015,"Tribunal Contencioso Administrativo, Sección VI",13-005691-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-633541
2015-03-27,29-2015,"Tribunal Contencioso Administrativo, Sección IV",10-001336-0166-LA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-631420
2015-04-21,65-2015,"Tribunal Contencioso Administrativo, Sección VI",13-005831-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-632102
2015-04-30,73-2015,"Tribunal Contencioso Administrativo, Sección VI",13-002031-1178-LA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-633553
